title,price,link
"HP 14 Smartchoice, Intel Core Ultra 5 125H 12 TOPS, 24GB DDR5 (Upgradeable) 1TB SSD, Anti-Glare, FHD, 14''/35.6cm,Win11, M365*Office24, Silver, 1.4kg, ep1180tu, FHD Camera w/Shutter, Backlit AI Laptop","80,990",https://www.amazon.in/HP-Smartchoice-Upgradeable-Anti-Glare-Office24/dp/B0GWQC4JGJ/ref=sr_1_35?crid=2RKOOCZHIKESC&dib=eyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk&dib_tag=se&keywords=laptop&qid=1784212528&sprefix=lapt%2Caps%2C337&sr=8-35
"𝗗𝗲𝗹𝗹Laptop ModeI 3400 Laptop | InteI Core i5 8th Gen | 8GB DDR4 RAM | 256GB SSD | 14"" Full HD Display | Win 10 Pro | InteI UHD Graphics 620 | Seller Warranty | A+ Condition (Refab)","32,000",https://www.amazon.in/%F0%9D%97%97%F0%9D%97%B2%F0%9D%97%B9%F0%9D%97%B9Laptop-3400-Graphics-Warranty-Condition/dp/B0H5VZ9311/ref=sr_1_36?crid=2RKOOCZHIKESC&dib=eyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk&dib_tag=se&keywords=laptop&qid=1784212528&sprefix=lapt%2Caps%2C337&sr=8-36
"HP 14, AMD Ryzen 7 7730U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 14''/35.6cm, Win11, M365 Basic(1yr), Office Home24, Silver,1.4kg, EM0104AU, FHD Camera w/Privacy Shutter, Backlit Laptop","59,990",https://www.amazon.in/HP-Anti-Glare-Micro-Edge-EM0104AU-Privacy/dp/B0G92SHKTG/ref=sr_1_19?crid=2RKOOCZHIKESC&dib=eyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk&dib_tag=se&keywords=laptop&qid=1784212528&sprefix=lapt%2Caps%2C337&sr=8-19
"Lenovo IdeaPad Slim 3 Intel Core Ultra 5 322 Next-Gen AI PC (16GB RAM/512GB SSD/15.3"" (38.8cm)/WUXGA IPS/Copilot+ PC/Windows 11/MSO 365 Basic+Office 2024/Backlit Keyboard/Grey/1.6Kg), 83UR009QIN","1,09,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDcxMTEwMjgyMTE3MTQzOjE3ODQyMTI1Mjg6c3BfYnRmOjMwMTEzNTI3MTQwNjAzMjo6MDo6&url=%2FLenovo-IdeaPad-Next-Gen-Keyboard-83UR009QIN%2Fdp%2FB0H3PV7418%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2RKOOCZHIKESC%26dib%3DeyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1784212528%26sprefix%3Dlapt%252Caps%252C337%26sr%3D8-37-spons%26aref%3DcvZ313pZRy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=cvZ313pZRy&sp_cr=ZAZ
"Lenovo IdeaPad Slim 3, 13th Gen Intel Core i5 13420H, 24GB RAM, 1TB SSD, WUXGA IPS, 15.3""/38.8cm, Windows 11, Office Home 2024, Grey, 1.6Kg, Backlit Keyboard, 1Yr ADP Free, 83K100PLIN, Laptop","77,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDcxMTEwMjgyMTE3MTQzOjE3ODQyMTI1Mjg6c3BfYnRmOjMwMDY4ODU1Mjc3MjczMjo6MDo6&url=%2FLenovo-IdeaPad-i5-13420H-Keyboard-83K100PLIN%2Fdp%2FB0FCY7BTCX%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2RKOOCZHIKESC%26dib%3DeyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1784212528%26sprefix%3Dlapt%252Caps%252C337%26sr%3D8-38-spons%26aref%3DuVVSyxdP3f%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=uVVSyxdP3f&sp_cr=ZAZ
"Lenovo IdeaPad Slim 3, 13th Gen Intel Core i5 13420H, 24GB RAM, 1TB SSD, WUXGA IPS, 15.3""/38.8cm, Windows 11, Office Home 2024, Grey, 1.6Kg, Backlit Keyboard, 1Yr ADP Free, 83K100PLIN, Laptop","77,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MzE1Nzc0NjEyMDQwODA6MTc4NDIxMjUzMzpzcF9hdGZfbmV4dDozMDA2ODg1NTI3NzI3MzI6OjA6Og&url=%2FLenovo-IdeaPad-i5-13420H-Keyboard-83K100PLIN%2Fdp%2FB0FCY7BTCX%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2RKOOCZHIKESC%26dib%3DeyJ2IjoiMSJ9.8gIgBjW_BG4_kixOzc3vT0ozFzUQG8azg5iDAz3eRZ1laMXU-2q1t5wXUUE_nJCGUmZ9Rh4gIOnowR4h4fORBQuM9Ba1mZOdTpeKPH2tbUXgBxg8xZMpZwb3CxJWsdu47zzPzFCC613pjOiomyZgnIJt2yf-Qp712JcHT5jM_cfQ46gBhxWpJzAVEan9nBPwH0QAqPTxv_K2YFyTHdiLvX7YT-Ce53wwIg-G_xk8N0o.iR5i0Wehelqnq9TQLf-3hqgfnhmmzJPkbXzy2uxRkpw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1784212533%26sprefix%3Dlapt%252Caps%252C337%26sr%3D8-33-spons%26aref%3DuVVSyxdP3f%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=uVVSyxdP3f&sp_cr=ZAZ
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7 13620H, 16GB RAM, 512GB SSD, WUXGA IPS, 15.3""/38.8cm, Win 11, Office 2024, Top Metal Cover Grey, 1.6Kg, 83K100CJIN/S1IN, Backlit KB, Laptop","81,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MzE1Nzc0NjEyMDQwODA6MTc4NDIxMjUzMzpzcF9hdGZfbmV4dDozMDA1MzQ5MzUwNzM0MzI6OjA6Og&url=%2FLenovo-Smartchoice-I7-13620H-Keyboard-83K100CJIN%2Fdp%2FB0F2162VGQ%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2RKOOCZHIKESC%26dib%3DeyJ2IjoiMSJ9.8gIgBjW_BG4_kixOzc3vT0ozFzUQG8azg5iDAz3eRZ1laMXU-2q1t5wXUUE_nJCGUmZ9Rh4gIOnowR4h4fORBQuM9Ba1mZOdTpeKPH2tbUXgBxg8xZMpZwb3CxJWsdu47zzPzFCC613pjOiomyZgnIJt2yf-Qp712JcHT5jM_cfQ46gBhxWpJzAVEan9nBPwH0QAqPTxv_K2YFyTHdiLvX7YT-Ce53wwIg-G_xk8N0o.iR5i0Wehelqnq9TQLf-3hqgfnhmmzJPkbXzy2uxRkpw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1784212533%26sprefix%3Dlapt%252Caps%252C337%26sr%3D8-34-spons%26aref%3DKkFwhIhGgG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=KkFwhIhGgG&sp_cr=ZAZ
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","36,990",https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_35?crid=2RKOOCZHIKESC&dib=eyJ2IjoiMSJ9.8gIgBjW_BG4_kixOzc3vT0ozFzUQG8azg5iDAz3eRZ1laMXU-2q1t5wXUUE_nJCGUmZ9Rh4gIOnowR4h4fORBQuM9Ba1mZOdTpeKPH2tbUXgBxg8xZMpZwb3CxJWsdu47zzPzFCC613pjOiomyZgnIJt2yf-Qp712JcHT5jM_cfQ46gBhxWpJzAVEan9nBPwH0QAqPTxv_K2YFyTHdiLvX7YT-Ce53wwIg-G_xk8N0o.iR5i0Wehelqnq9TQLf-3hqgfnhmmzJPkbXzy2uxRkpw&dib_tag=se&keywords=laptop&qid=1784212533&sprefix=lapt%2Caps%2C337&sr=8-35
"HP 15 Laptop, (14th Gen Core i5) Intel Core 5-120U (24GB RAM, 512GB SSD, Win 11, M365 Basic(1yr)* Office24,15.6''/39.6cm FHD Anti-Glare Display, Backlit KB, FHD Camera, Dual Speakers, Silver, 1.59kg)","70,100",https://www.amazon.in/HP-Office24-Anti-Glare-Display-Speakers/dp/B0H5VZHTGV/ref=sr_1_36?crid=2RKOOCZHIKESC&dib=eyJ2IjoiMSJ9.8gIgBjW_BG4_kixOzc3vT0ozFzUQG8azg5iDAz3eRZ1laMXU-2q1t5wXUUE_nJCGUmZ9Rh4gIOnowR4h4fORBQuM9Ba1mZOdTpeKPH2tbUXgBxg8xZMpZwb3CxJWsdu47zzPzFCC613pjOiomyZgnIJt2yf-Qp712JcHT5jM_cfQ46gBhxWpJzAVEan9nBPwH0QAqPTxv_K2YFyTHdiLvX7YT-Ce53wwIg-G_xk8N0o.iR5i0Wehelqnq9TQLf-3hqgfnhmmzJPkbXzy2uxRkpw&dib_tag=se&keywords=laptop&qid=1784212533&sprefix=lapt%2Caps%2C337&sr=8-36
"HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300 nits, 15.6''/39.6cm, Win11, Office24, Blue, 2.29kg, fb3130AX, DTS Audio, Xbox Gamepass*, Gaming Laptop","96,990",https://www.amazon.in/HP-Upgradeable-Office24-fb3130AX-Gamepass/dp/B0GVRZD89W/ref=sr_1_37?crid=2RKOOCZHIKESC&dib=eyJ2IjoiMSJ9.8gIgBjW_BG4_kixOzc3vT0ozFzUQG8azg5iDAz3eRZ1laMXU-2q1t5wXUUE_nJCGUmZ9Rh4gIOnowR4h4fORBQuM9Ba1mZOdTpeKPH2tbUXgBxg8xZMpZwb3CxJWsdu47zzPzFCC613pjOiomyZgnIJt2yf-Qp712JcHT5jM_cfQ46gBhxWpJzAVEan9nBPwH0QAqPTxv_K2YFyTHdiLvX7YT-Ce53wwIg-G_xk8N0o.iR5i0Wehelqnq9TQLf-3hqgfnhmmzJPkbXzy2uxRkpw&dib_tag=se&keywords=laptop&qid=1784212533&sprefix=lapt%2Caps%2C337&sr=8-37
